# base_item_id	count_threshold	display_item_id
45	2	9199
45	3	9200
45	4	9201
45	5	9202
52	2	6440
52	3	6441
52	4	6442
52	5	6443
53	2	6444
53	3	6445
53	4	6446
53	5	6447
78	2	81
78	3	80
78	4	79
78	5	82
598	2	2542
598	3	2543
598	4	2544
598	5	2545
877	2	3807
877	3	3808
877	4	3809
877	5	3810
878	2	3811
878	3	3812
878	4	3813
878	5	3814
879	2	3815
879	3	3816
879	4	3817
879	5	3818
880	2	3819
880	3	3820
880	4	3821
880	5	3822
881	2	3823
881	3	3824
881	4	3825
881	5	3826
882	2	896
882	3	895
882	4	894
882	5	897
883	2	900
883	3	899
883	4	898
883	5	901
884	2	904
884	3	903
884	4	902
884	5	905
885	2	908
885	3	907
885	4	906
885	5	909
886	2	912
886	3	911
886	4	910
886	5	913
887	2	916
887	3	915
887	4	914
887	5	917
888	2	920
888	3	919
888	4	918
888	5	921
889	2	924
889	3	923
889	4	922
889	5	925
890	2	928
890	3	927
890	4	926
890	5	929
891	2	932
891	3	931
891	4	930
891	5	933
892	2	936
892	3	935
892	4	934
892	5	937
893	2	940
893	3	939
893	4	938
893	5	941
942	2	2546
942	3	2547
942	4	2548
942	5	2549
995	2	996
995	3	997
995	4	998
995	5	999
995	25	1000
995	100	1001
995	250	1002
995	1000	1003
995	10000	1004
1793	2	5276
1793	3	5277
1793	4	5278
1793	5	5279
2864	2	7923
2864	3	7924
2864	4	7925
2864	5	7926
2865	2	11160
2865	3	11161
2865	4	11162
2865	5	11163
2866	2	2870
2866	3	2869
2866	4	2868
2866	5	2867
4160	2	4175
4160	3	4174
4160	4	4173
4160	5	4172
4278	2	4279
4278	3	4281
4740	2	4741
4740	3	4742
4740	4	4743
4740	5	4744
4773	2	4774
4773	3	4775
4773	4	4776
4773	5	4777
4778	2	4779
4778	3	4780
4778	4	4781
4778	5	4782
4783	2	4784
4783	3	4785
4783	4	4786
4783	5	4787
4788	2	4789
4788	3	4790
4788	4	4791
4788	5	4792
4793	2	4794
4793	3	4795
4793	4	4796
4793	5	4797
4798	2	4799
4798	3	4800
4798	4	4801
4798	5	4802
4803	2	4804
4803	3	4805
4803	4	4806
4803	5	4807
5096	2	5131
5096	3	5132
5096	4	5133
5096	5	5134
5097	2	5135
5097	3	5136
5097	4	5137
5097	5	5138
5098	2	5196
5098	3	5197
5098	4	5198
5098	5	5199
5099	2	5200
5099	3	5201
5099	4	5202
5099	5	5203
5100	2	5268
5100	3	5269
5100	4	5270
5100	5	5271
5101	2	5204
5101	3	5205
5101	4	5206
5101	5	5207
5102	2	5208
5102	3	5209
5102	4	5210
5102	5	5211
5103	2	5212
5103	3	5213
5103	4	5214
5103	5	5215
5104	2	5216
5104	3	5217
5104	4	5218
5104	5	5219
5105	2	5220
5105	3	5221
5105	4	5222
5105	5	5223
5280	2	5264
5280	3	5265
5280	4	5266
5280	5	5267
5281	2	5272
5281	3	5273
5281	4	5274
5281	5	5275
5282	2	5260
5282	3	5261
5282	4	5262
5282	5	5263
5283	2	5228
5283	3	5229
5283	4	5230
5283	5	5231
5284	2	5232
5284	3	5233
5284	4	5234
5284	5	5235
5285	2	5236
5285	3	5237
5285	4	5238
5285	5	5239
5286	2	5240
5286	3	5241
5286	4	5242
5286	5	5243
5287	2	5244
5287	3	5245
5287	4	5246
5287	5	5247
5288	2	5248
5288	3	5249
5288	4	5250
5288	5	5251
5289	2	5252
5289	3	5253
5289	4	5254
5289	5	5255
5290	2	5256
5290	3	5257
5290	4	5258
5290	5	5259
5291	2	5224
5291	3	5225
5291	4	5226
5291	5	5227
5305	2	5167
5305	3	5168
5305	4	5169
5305	5	5170
5306	2	5172
5306	3	5173
5306	4	5174
5306	5	5175
5307	2	5176
5307	3	5177
5307	4	5178
5307	5	5179
5308	2	5180
5308	3	5181
5308	4	5182
5308	5	5183
5309	2	5184
5309	3	5185
5309	4	5186
5309	5	5187
5310	2	5188
5310	3	5189
5310	4	5190
5310	5	5191
5311	2	5192
5311	3	5193
5311	4	5194
5311	5	5195
5312	2	5111
5312	3	5112
5312	4	5113
5312	5	5114
5313	2	5115
5313	3	5116
5313	4	5117
5313	5	5118
5314	2	5119
5314	3	5120
5314	4	5121
5314	5	5122
5315	2	5107
5315	3	5108
5315	4	5109
5315	5	5110
5316	2	5123
5316	3	5124
5316	4	5125
5316	5	5126
5317	2	5127
5317	3	5128
5317	4	5129
5317	5	5130
5318	2	5163
5318	3	5164
5318	4	5165
5318	5	5166
5319	2	5159
5319	3	5160
5319	4	5161
5319	5	5162
5320	2	5139
5320	3	5140
5320	4	5141
5320	5	5142
5321	2	5143
5321	3	5144
5321	4	5145
5321	5	5146
5322	2	5151
5322	3	5152
5322	4	5153
5322	5	5154
5323	2	5147
5323	3	5148
5323	4	5149
5323	5	5150
5324	2	5155
5324	3	5156
5324	4	5157
5324	5	5158
6112	2	6114
6112	3	6115
6112	4	6116
6112	5	6117
6306	10	6307
6306	100	6308
6306	1000	6309
6306	10000	6310
6319	100	6320
6319	1000	6321
6453	2	6480
6453	3	6481
6453	4	6482
6453	5	6483
6454	2	6484
6454	3	6485
6454	4	6486
6454	5	6487
6455	2	6488
6455	3	6489
6455	4	6490
6455	5	6491
6456	2	6492
6456	3	6493
6456	4	6494
6456	5	6495
6457	2	6496
6457	3	6497
6457	4	6498
6457	5	6499
6458	2	6500
6458	3	6501
6458	4	6502
6458	5	6503
6459	2	6504
6459	3	6505
6459	4	6506
6459	5	6507
6460	2	6508
6460	3	6509
6460	4	6510
6460	5	6511
6529	2	6530
6529	3	6531
6529	4	6532
6529	5	6533
6529	25	6534
7150	2	7151
7150	3	7152
7150	4	7153
7150	5	7154
8851	2	8852
8851	3	8853
8851	4	8854
8851	5	8855
8882	2	8883
8882	3	8884
8882	4	8885
8882	5	8886
8890	2	8891
8890	3	8892
8890	4	8893
8890	5	8894
8890	25	8895
8890	100	8896
8890	250	8897
8890	1000	8898
8890	10000	8899
8951	2	8984
8951	3	8985
9139	2	9146
9139	3	9147
9139	4	9148
9139	5	9149
9140	2	9150
9140	3	9151
